FIELD_50,FIELD_52,FIELD_54,FIELD_56,FIELD_57
67.477,61.91,0.75,0.01,0.01
67.634,61.946,0.88,0.19,0.06
67.61,61.967,1,0.2,0.19
,62.048,,0.21,0.2
,62.098,,0.23,0.21
,62.111,,0.24,0.23
,62.124,,0.26,0.24
,62.126,,0.28,0.26
,62.184,,0.31,0.28
,62.243,,0.35,0.31
,62.333,,0.38,0.35
,62.34,,0.52,0.38
,62.346,,0.59,0.52
,62.348,,0.92,0.59
,62.354,,,0.92
,62.367,,,
,62.433,,,
,62.492,,,
,62.495,,,
,62.502,,,
,62.506,,,
,63.404,,,
,63.407,,,
,63.413,,,
,63.8,,,
,63.812,,,
,63.828,,,
,63.842,,,
,63.846,,,
,63.85,,,
,63.853,,,
,63.856,,,
,63.858,,,
,63.86,,,
,63.864,,,
,63.87,,,
,63.873,,,
,63.881,,,
,63.886,,,
,63.888,,,
,63.89,,,
,63.892,,,
,63.896,,,
,63.899,,,
,63.902,,,
,63.904,,,
,63.909,,,
,63.916,,,
,63.918,,,
,63.92,,,
,63.922,,,
,63.924,,,
,63.928,,,
,63.93,,,
,63.934,,,
,63.936,,,
,63.938,,,
,63.94,,,
,63.944,,,
,63.946,,,
,63.955,,,
,63.964,,,
,63.97,,,
,63.972,,,
,63.976,,,
,63.978,,,
,63.982,,,
,63.984,,,
,63.986,,,
,63.988,,,
,63.993,,,
,63.996,,,
,64,,,
,64.005,,,
,64.01,,,
,64.016,,,
,64.019,,,
,64.026,,,
,64.029,,,
,64.032,,,
,64.036,,,
,64.038,,,
,64.04,,,
,64.042,,,
,64.045,,,
,64.05,,,
,64.055,,,
,64.062,,,
,64.07,,,
,64.074,,,
,64.077,,,
,64.092,,,
,64.102,,,
,64.104,,,
,64.109,,,
,64.112,,,
,64.118,,,
,64.13,,,
,64.134,,,
,64.144,,,
,64.146,,,
,64.148,,,
,64.156,,,
,64.161,,,
,64.167,,,
,64.174,,,
,64.179,,,
,64.191,,,
,64.202,,,
,64.204,,,
,64.206,,,
,64.21,,,
,64.214,,,
,64.22,,,
,64.225,,,
,64.229,,,
,64.232,,,
,64.234,,,
,64.24,,,
,64.242,,,
,64.246,,,
,64.251,,,
,64.256,,,
,64.258,,,
,64.264,,,
,64.274,,,
,64.28,,,
,64.282,,,
,64.287,,,
,64.292,,,
,64.294,,,
,64.296,,,
,64.299,,,
,64.304,,,
,64.308,,,
,64.31,,,
,64.314,,,
,64.32,,,
,64.326,,,
,64.328,,,
,64.33,,,
,64.332,,,
,64.334,,,
,64.338,,,
,64.343,,,
,64.35,,,
,64.354,,,
,64.356,,,
